Process_Time,WAC_Time,JIT1,Throughput,PW,Square_PW
120,40,10,48,160,80
120,50,10,47.5,170,70
120,60,10,44,180,60
120,70,10,43.8,190,50
120,80,10,43,200,40
120,90,10,42,210,30
135,40,10,46,175,95
135,50,10,45,185,85
135,60,10,40,195,75
135,70,10,38.65,205,65
135,80,10,38.58,215,55
135,90,10,37.1,225,45
150,40,10,47.26,190,110
150,50,10,42.46,200,100
150,60,10,35.07,210,90
150,70,10,37.04,220,80
150,80,10,36.4,230,70
150,90,10,37,240,60
165,40,10,41.44,205,125
165,50,10,40.13,215,115
165,60,10,32.27,225,105
165,70,10,38.27,235,95
165,80,10,33.6,245,85
165,90,10,35.3,255,75
180,40,10,38.95,220,140
180,50,10,36.19,230,130
180,60,10,34.99,240,120
180,70,10,33.08,250,110
180,80,10,36.67,260,100
180,90,10,31.21,270,90
195,40,10,26.66,235,155
195,50,10,35.59,245,145
195,60,10,33.13,255,135
195,70,10,32.5,265,125
195,80,10,31.88,275,115
195,90,10,32.98,285,105
120,40,15,48.5,160,80
120,50,15,48,170,70
120,60,15,44.5,180,60
120,70,15,44,190,50
120,80,15,43.5,200,40
120,90,15,42.5,210,30
135,40,15,46.5,175,95
135,50,15,45.2,185,85
135,60,15,40.5,195,75
135,70,15,39.24,205,65
135,80,15,39.08,215,55
135,90,15,37.6,225,45
150,40,15,45.57,190,110
150,50,15,42.52,200,100
150,60,15,36.18,210,90
150,70,15,37.14,220,80
150,80,15,36.92,230,70
150,90,15,37.06,240,60
165,40,15,41.41,205,125
165,50,15,40.18,215,115
165,60,15,33.4,225,105
165,70,15,37.43,235,95
165,80,15,34.28,245,85
165,90,15,35.32,255,75
180,40,15,39.04,220,140
180,50,15,36.94,230,130
180,60,15,35.57,240,120
180,70,15,33.93,250,110
180,80,15,36.31,260,100
180,90,15,31.93,270,90
195,40,15,30.23,235,155
195,50,15,35.91,245,145
195,60,15,33.77,255,135
195,70,15,32.88,265,125
195,80,15,32.18,275,115
195,90,15,32.86,285,105
120,40,20,49,160,80
120,50,20,48.25,170,70
120,60,20,44.74,180,60
120,70,20,44.05,190,50
120,80,20,43.7,200,40
120,90,20,42.7,210,30
135,40,20,46.73,175,95
135,50,20,45.23,185,85
135,60,20,40.74,195,75
135,70,20,39.83,205,65
135,80,20,39.58,215,55
135,90,20,38.1,225,45
150,40,20,43.88,190,110
150,50,20,42.58,200,100
150,60,20,37.29,210,90
150,70,20,37.24,220,80
150,80,20,37.44,230,70
150,90,20,37.12,240,60
165,40,20,41.38,205,125
165,50,20,40.23,215,115
165,60,20,34.53,225,105
165,70,20,36.59,235,95
165,80,20,34.96,245,85
165,90,20,35.34,255,75
180,40,20,39.13,220,140
180,50,20,37.69,230,130
180,60,20,36.15,240,120
180,70,20,34.78,250,110
180,80,20,35.95,260,100
180,90,20,32.65,270,90
195,40,20,33.8,235,155
195,50,20,36.23,245,145
195,60,20,34.41,255,135
195,70,20,33.26,265,125
195,80,20,32.48,275,115
195,90,20,32.74,285,105
120,40,25,50.61,160,80
120,50,25,48.8,170,70
120,60,25,43.85,180,60
120,70,25,45.05,190,50
120,80,25,44,200,40
120,90,25,43,210,30
135,40,25,46.27,175,95
135,50,25,45.14,185,85
135,60,25,42.79,195,75
135,70,25,41.51,205,65
135,80,25,40.08,215,55
135,90,25,38.6,225,45
150,40,25,42.19,190,110
150,50,25,42.64,200,100
150,60,25,38.4,210,90
150,70,25,37.34,220,80
150,80,25,37.96,230,70
150,90,25,37.18,240,60
165,40,25,41.35,205,125
165,50,25,40.28,215,115
165,60,25,35.66,225,105
165,70,25,35.75,235,95
165,80,25,35.64,245,85
165,90,25,35.36,255,75
180,40,25,39.22,220,140
180,50,25,38.44,230,130
180,60,25,36.73,240,120
180,70,25,35.63,250,110
180,80,25,35.59,260,100
180,90,25,33.37,270,90
195,40,25,37.37,235,155
195,50,25,36.55,245,145
195,60,25,35.05,255,135
195,70,25,33.64,265,125
195,80,25,32.78,275,115
195,90,25,32.62,285,105
120,40,30,50.34,160,80
120,50,30,47.06,170,70
120,60,30,44.62,180,60
120,70,30,44.67,190,50
120,80,30,44.34,200,40
120,90,30,43.14,210,30
135,40,30,47.22,175,95
135,50,30,44.25,185,85
135,60,30,42.27,195,75
135,70,30,42.1,205,65
135,80,30,40.58,215,55
135,90,30,39.1,225,45
150,40,30,44.22,190,110
150,50,30,41.18,200,100
150,60,30,41.93,210,90
150,70,30,40.16,220,80
150,80,30,38.48,230,70
150,90,30,37.24,240,60
165,40,30,41.71,205,125
165,50,30,39.44,215,115
165,60,30,39.36,225,105
165,70,30,37.87,235,95
165,80,30,36.32,245,85
165,90,30,35.38,255,75
180,40,30,39.41,220,140
180,50,30,37.34,230,130
180,60,30,37.26,240,120
180,70,30,35.69,250,110
180,80,30,35.23,260,100
180,90,30,34.09,270,90
195,40,30,37.39,235,155
195,50,30,35.46,245,145
195,60,30,35.59,255,135
195,70,30,33.55,265,125
195,80,30,33.08,275,115
195,90,30,32.5,285,105
120,40,35,50.5,160,80
120,50,35,48,170,70
120,60,35,46,180,60
120,70,35,45,190,50
120,80,35,44.4,200,40
120,90,35,43.8,210,30
135,40,35,47.2,175,95
135,50,35,45,185,85
135,60,35,43,195,75
135,70,35,43,205,65
135,80,35,40,215,55
135,90,35,40,225,45
150,40,35,44.25,190,110
150,50,35,42,200,100
150,60,35,42,210,90
150,70,35,41,220,80
150,80,35,39,230,70
150,90,35,37.3,240,60
165,40,35,38.82,205,125
165,50,35,40.85,215,115
165,60,35,39.33,225,105
165,70,35,39.59,235,95
165,80,35,37,245,85
165,90,35,35.4,255,75
180,40,35,37.62,220,140
180,50,35,38.48,230,130
180,60,35,38.49,240,120
180,70,35,35.75,250,110
180,80,35,34.87,260,100
180,90,35,34.81,270,90
195,40,35,37.41,235,155
195,50,35,34.37,245,145
195,60,35,36.13,255,135
195,70,35,33.46,265,125
195,80,35,33.38,275,115
195,90,35,32.38,285,105
120,40,40,50.68,160,80
120,50,40,49.22,170,70
120,60,40,49.77,180,60
120,70,40,47.87,190,50
120,80,40,44.73,200,40
120,90,40,44.09,210,30
135,40,40,47.2,175,95
135,50,40,46.51,185,85
135,60,40,43.7,195,75
135,70,40,44.76,205,65
135,80,40,41.96,215,55
135,90,40,40.47,225,45
150,40,40,44.29,190,110
150,50,40,43.9,200,100
150,60,40,43.23,210,90
150,70,40,42.23,220,80
150,80,40,39.69,230,70
150,90,40,37.53,240,60
165,40,40,41.75,205,125
165,50,40,41.24,215,115
165,60,40,40.29,225,105
165,70,40,39.81,235,95
165,80,40,37.83,245,85
165,90,40,35.46,255,75
180,40,40,39.4,220,140
180,50,40,38.97,230,130
180,60,40,38.73,240,120
180,70,40,35.81,250,110
180,80,40,35.4,260,100
180,90,40,35,270,90
195,40,40,37.43,235,155
195,50,40,33.28,245,145
195,60,40,36.67,255,135
195,70,40,33.37,265,125
195,80,40,34,275,115
195,90,40,33,285,105
120,40,45,53.09,160,80
120,50,45,50.73,170,70
120,60,45,49.78,180,60
120,70,45,47.91,190,50
120,80,45,44.8,200,40
120,90,45,43.45,210,30
135,40,45,51.1,175,95
135,50,45,46.92,185,85
135,60,45,44.47,195,75
135,70,45,44.79,205,65
135,80,45,42.1,215,55
135,90,45,39.97,225,45
150,40,45,47.68,190,110
150,50,45,44.34,200,100
150,60,45,43.5,210,90
150,70,45,42.34,220,80
150,80,45,39.91,230,70
150,90,45,37.52,240,60
165,40,45,44.68,205,125
165,50,45,41.63,215,115
165,60,45,41.25,225,105
165,70,45,40.03,235,95
165,80,45,37.81,245,85
165,90,45,37.01,255,75
180,40,45,41.18,220,140
180,50,45,39.46,230,130
180,60,45,38.97,240,120
180,70,45,37.95,250,110
180,80,45,35.93,260,100
180,90,45,35.19,270,90
195,40,45,39.37,235,155
195,50,45,35.39,245,145
195,60,45,37.21,255,135
195,70,45,35.99,265,125
195,80,45,34.62,275,115
195,90,45,33.62,285,105
120,40,50,53.57,160,80
120,50,50,52.29,170,70
120,60,50,48.07,180,60
120,70,50,48,190,50
120,80,50,44.95,200,40
120,90,50,43.75,210,30
135,40,50,49.69,175,95
135,50,50,47.63,185,85
135,60,50,46.74,195,75
135,70,50,45.04,205,65
135,80,50,43.22,215,55
135,90,50,41.26,225,45
150,40,50,46.5,190,110
150,50,50,44.64,200,100
150,60,50,43.87,210,90
150,70,50,42.41,220,80
150,80,50,40.69,230,70
150,90,50,39.01,240,60
165,40,50,43.64,205,125
165,50,50,41.98,215,115
165,60,50,41.28,225,105
165,70,50,40.03,235,95
165,80,50,38.27,245,85
165,90,50,37,255,75
180,40,50,41.22,220,140
180,50,50,39.95,230,130
180,60,50,39.21,240,120
180,70,50,40.09,250,110
180,80,50,36.46,260,100
180,90,50,35.38,270,90
195,40,50,41.31,235,155
195,50,50,37.5,245,145
195,60,50,37.21,255,135
195,70,50,38.61,265,125
195,80,50,35.24,275,115
195,90,50,34.24,285,105
120,40,55,54.05,160,80
120,50,55,53.85,170,70
120,60,55,49.78,180,60
120,70,55,48.09,190,50
120,80,55,45.1,200,40
120,90,55,44.05,210,30
135,40,55,51.1,175,95
135,50,55,48.34,185,85
135,60,55,49.01,195,75
135,70,55,45.29,205,65
135,80,55,44.34,215,55
135,90,55,42.55,225,45
150,40,55,45.32,190,110
150,50,55,44.94,200,100
150,60,55,44.24,210,90
150,70,55,42.48,220,80
150,80,55,40.69,230,70
150,90,55,40.5,240,60
165,40,55,44.68,205,125
165,50,55,42.33,215,115
165,60,55,41.31,225,105
165,70,55,40.03,235,95
165,80,55,37.81,245,85
165,90,55,37.01,255,75
180,40,55,41.26,220,140
180,50,55,40.44,230,130
180,60,55,39.45,240,120
180,70,55,40.09,250,110
180,80,55,36.99,260,100
180,90,55,35.57,270,90
195,40,55,41.31,235,155
195,50,55,39.61,245,145
195,60,55,37.21,255,135
195,70,55,38.61,265,125
195,80,55,35.86,275,115
195,90,55,34.24,285,105
120,40,60,54.53,160,80
120,50,60,55.41,170,70
120,60,60,51.49,180,60
120,70,60,48.18,190,50
120,80,60,45.25,200,40
120,90,60,44.35,210,30
135,40,60,52.51,175,95
135,50,60,49.05,185,85
135,60,60,48,195,75
135,70,60,45.54,205,65
135,80,60,45.46,215,55
135,90,60,43.84,225,45
150,40,60,44.14,190,110
150,50,60,45.24,200,100
150,60,60,44.61,210,90
150,70,60,42.55,220,80
150,80,60,40.69,230,70
150,90,60,41.99,240,60
165,40,60,45.72,205,125
165,50,60,42.68,215,115
165,60,60,41.34,225,105
165,70,60,40.03,235,95
165,80,60,37.35,245,85
165,90,60,37.02,255,75
180,40,60,41.3,220,140
180,50,60,40.93,230,130
180,60,60,39.69,240,120
180,70,60,40.09,250,110
180,80,60,37.52,260,100
180,90,60,35.76,270,90
195,40,60,41.31,235,155
195,50,60,39.61,245,145
195,60,60,37.21,255,135
195,70,60,38.61,265,125
195,80,60,35.86,275,115
195,90,60,34.24,285,105
120,40,65,55.01,160,80
120,50,65,55.41,170,70
120,60,65,51.49,180,60
120,70,65,48.27,190,50
120,80,65,45.4,200,40
120,90,65,44.65,210,30
135,40,65,53.92,175,95
135,50,65,49.76,185,85
135,60,65,46.99,195,75
135,70,65,45.79,205,65
135,80,65,45.46,215,55
135,90,65,43.84,225,45
150,40,65,42.96,190,110
150,50,65,45.54,200,100
150,60,65,44.98,210,90
150,70,65,42.62,220,80
150,80,65,40.69,230,70
150,90,65,43.48,240,60
165,40,65,45.72,205,125
165,50,65,43.03,215,115
165,60,65,41.37,225,105
165,70,65,40.03,235,95
165,80,65,36.89,245,85
165,90,65,37.03,255,75
180,40,65,41.34,220,140
180,50,65,41.42,230,130
180,60,65,39.93,240,120
180,70,65,40.09,250,110
180,80,65,38.05,260,100
180,90,65,35.95,270,90
195,40,65,41.31,235,155
195,50,65,39.61,245,145
195,60,65,37.21,255,135
195,70,65,38.61,265,125
195,80,65,35.86,275,115
195,90,65,34.24,285,105
120,40,70,55.49,160,80
120,50,70,55.41,170,70
120,60,70,51.49,180,60
120,70,70,48.36,190,50
120,80,70,45.55,200,40
120,90,70,44.95,210,30
135,40,70,52.51,175,95
135,50,70,50.47,185,85
135,60,70,45.98,195,75
135,70,70,46.04,205,65
135,80,70,45.46,215,55
135,90,70,43.84,225,45
150,40,70,41.78,190,110
150,50,70,45.84,200,100
150,60,70,45.35,210,90
150,70,70,42.69,220,80
150,80,70,40.69,230,70
150,90,70,44.97,240,60
165,40,70,45.72,205,125
165,50,70,43.38,215,115
165,60,70,41.4,225,105
165,70,70,40.03,235,95
165,80,70,36.43,245,85
165,90,70,37.04,255,75
180,40,70,41.38,220,140
180,50,70,41.91,230,130
180,60,70,40.17,240,120
180,70,70,40.09,250,110
180,80,70,38.05,260,100
180,90,70,36.14,270,90
195,40,70,41.31,235,155
195,50,70,39.61,245,145
195,60,70,37.21,255,135
195,70,70,38.61,265,125
195,80,70,35.86,275,115
195,90,70,34.24,285,105
120,40,75,55.97,160,80
120,50,75,55.41,170,70
120,60,75,51.49,180,60
120,70,75,48.45,190,50
120,80,75,45.7,200,40
120,90,75,45.25,210,30
135,40,75,51.1,175,95
135,50,75,49.76,185,85
135,60,75,44.97,195,75
135,70,75,46.29,205,65
135,80,75,45.46,215,55
135,90,75,43.84,225,45
150,40,75,40.6,190,110
150,50,75,46.14,200,100
150,60,75,45.72,210,90
150,70,75,42.76,220,80
150,80,75,40.69,230,70
150,90,75,46.46,240,60
165,40,75,45.72,205,125
165,50,75,43.73,215,115
165,60,75,41.43,225,105
165,70,75,40.03,235,95
165,80,75,35.97,245,85
165,90,75,37.05,255,75
180,40,75,41.42,220,140
180,50,75,42.4,230,130
180,60,75,40.41,240,120
180,70,75,40.09,250,110
180,80,75,38.05,260,100
180,90,75,36.33,270,90
195,40,75,41.31,235,155
195,50,75,39.61,245,145
195,60,75,37.21,255,135
195,70,75,38.61,265,125
195,80,75,35.86,275,115
195,90,75,34.24,285,105
120,40,80,56.45,160,80
120,50,80,55.41,170,70
120,60,80,51.49,180,60
120,70,80,48.45,190,50
120,80,80,45.85,200,40
120,90,80,45.55,210,30
135,40,80,49.69,175,95
135,50,80,49.05,185,85
135,60,80,43.96,195,75
135,70,80,46.54,205,65
135,80,80,45.46,215,55
135,90,80,43.84,225,45
150,40,80,41.78,190,110
150,50,80,46.14,200,100
150,60,80,46.09,210,90
150,70,80,42.83,220,80
150,80,80,40.69,230,70
150,90,80,46.46,240,60
165,40,80,45.72,205,125
165,50,80,44.08,215,115
165,60,80,41.46,225,105
165,70,80,40.03,235,95
165,80,80,35.51,245,85
165,90,80,37.06,255,75
180,40,80,41.46,220,140
180,50,80,42.89,230,130
180,60,80,40.65,240,120
180,70,80,40.09,250,110
180,80,80,38.05,260,100
180,90,80,36.33,270,90
195,40,80,41.31,235,155
195,50,80,39.61,245,145
195,60,80,37.21,255,135
195,70,80,38.61,265,125
195,80,80,35.86,275,115
195,90,80,34.24,285,105
120,40,85,56.93,160,80
120,50,85,55.41,170,70
120,60,85,51.49,180,60
120,70,85,48.45,190,50
120,80,85,46,200,40
120,90,85,45.85,210,30
135,40,85,48.28,175,95
135,50,85,48.34,185,85
135,60,85,42.95,195,75
135,70,85,46.54,205,65
135,80,85,45.46,215,55
135,90,85,43.84,225,45
150,40,85,41.78,190,110
150,50,85,46.14,200,100
150,60,85,46.09,210,90
150,70,85,42.9,220,80
150,80,85,40.69,230,70
150,90,85,46.46,240,60
165,40,85,45.72,205,125
165,50,85,44.43,215,115
165,60,85,41.49,225,105
165,70,85,40.03,235,95
165,80,85,35.05,245,85
165,90,85,37.07,255,75
180,40,85,41.5,220,140
180,50,85,43.38,230,130
180,60,85,40.89,240,120
180,70,85,40.09,250,110
180,80,85,38.05,260,100
180,90,85,36.33,270,90
195,40,85,41.31,235,155
195,50,85,39.61,245,145
195,60,85,37.21,255,135
195,70,85,38.61,265,125
195,80,85,35.86,275,115
195,90,85,34.24,285,105
120,40,90,57.41,160,80
120,50,90,55.41,170,70
120,60,90,51.49,180,60
120,70,90,48.45,190,50
120,80,90,46.15,200,40
120,90,90,46.15,210,30
135,40,90,46.87,175,95
135,50,90,47.63,185,85
135,60,90,41.94,195,75
135,70,90,46.54,205,65
135,80,90,45.46,215,55
135,90,90,43.84,225,45
150,40,90,41.78,190,110
150,50,90,46.14,200,100
150,60,90,46.09,210,90
150,70,90,42.97,220,80
150,80,90,40.69,230,70
150,90,90,46.46,240,60
165,40,90,45.72,205,125
165,50,90,44.43,215,115
165,60,90,41.52,225,105
165,70,90,40.03,235,95
165,80,90,34.59,245,85
165,90,90,37.07,255,75
180,40,90,41.5,220,140
180,50,90,43.38,230,130
180,60,90,41.13,240,120
180,70,90,40.09,250,110
180,80,90,38.05,260,100
180,90,90,36.33,270,90
195,40,90,41.31,235,155
195,50,90,39.61,245,145
195,60,90,37.21,255,135
195,70,90,38.61,265,125
195,80,90,35.86,275,115
195,90,90,34.24,285,105
120,40,95,57.89,160,80
120,50,95,55.41,170,70
120,60,95,51.49,180,60
120,70,95,48.45,190,50
120,80,95,46.3,200,40
120,90,95,46.45,210,30
135,40,95,45.46,175,95
135,50,95,46.92,185,85
135,60,95,40.93,195,75
135,70,95,46.54,205,65
135,80,95,45.46,215,55
135,90,95,43.84,225,45
150,40,95,41.78,190,110
150,50,95,46.14,200,100
150,60,95,46.09,210,90
150,70,95,42.97,220,80
150,80,95,40.69,230,70
150,90,95,46.46,240,60
165,40,95,45.72,205,125
165,50,95,44.43,215,115
165,60,95,41.55,225,105
165,70,95,40.03,235,95
165,80,95,34.59,245,85
165,90,95,37.07,255,75
180,40,95,41.5,220,140
180,50,95,43.38,230,130
180,60,95,41.37,240,120
180,70,95,40.09,250,110
180,80,95,38.05,260,100
180,90,95,36.33,270,90
195,40,95,41.31,235,155
195,50,95,39.61,245,145
195,60,95,37.21,255,135
195,70,95,38.61,265,125
195,80,95,35.86,275,115
195,90,95,34.24,285,105
120,40,100,57.89,160,80
120,50,100,55.41,170,70
120,60,100,51.49,180,60
120,70,100,48.45,190,50
120,80,100,46.3,200,40
120,90,100,46.75,210,30
135,40,100,44.05,175,95
135,50,100,46.21,185,85
135,60,100,39.92,195,75
135,70,100,46.54,205,65
135,80,100,45.46,215,55
135,90,100,43.84,225,45
150,40,100,41.78,190,110
150,50,100,46.14,200,100
150,60,100,46.09,210,90
150,70,100,42.97,220,80
150,80,100,40.69,230,70
150,90,100,46.46,240,60
165,40,100,45.72,205,125
165,50,100,44.43,215,115
165,60,100,41.55,225,105
165,70,100,40.03,235,95
165,80,100,34.59,245,85
165,90,100,37.07,255,75
180,40,100,41.5,220,140
180,50,100,43.38,230,130
180,60,100,41.37,240,120
180,70,100,40.09,250,110
180,80,100,38.05,260,100
180,90,100,36.33,270,90
195,40,100,41.31,235,155
195,50,100,39.61,245,145
195,60,100,37.21,255,135
195,70,100,38.61,265,125
195,80,100,35.86,275,115
195,90,100,34.24,285,105
120,40,105,57.89,160,80
120,50,105,55.41,170,70
120,60,105,51.49,180,60
120,70,105,48.45,190,50
120,80,105,46.3,200,40
120,90,105,47.05,210,30
135,40,105,42.64,175,95
135,50,105,45.5,185,85
135,60,105,38.91,195,75
135,70,105,46.54,205,65
135,80,105,45.46,215,55
135,90,105,43.84,225,45
150,40,105,41.78,190,110
150,50,105,46.14,200,100
150,60,105,46.09,210,90
150,70,105,42.97,220,80
150,80,105,40.69,230,70
150,90,105,46.46,240,60
165,40,105,45.72,205,125
165,50,105,44.43,215,115
165,60,105,41.55,225,105
165,70,105,40.03,235,95
165,80,105,34.59,245,85
165,90,105,37.07,255,75
180,40,105,41.5,220,140
180,50,105,43.38,230,130
180,60,105,41.37,240,120
180,70,105,40.09,250,110
180,80,105,38.05,260,100
180,90,105,36.33,270,90
195,40,105,41.31,235,155
195,50,105,39.61,245,145
195,60,105,37.21,255,135
195,70,105,38.61,265,125
195,80,105,35.86,275,115
195,90,105,34.24,285,105
120,40,110,57.89,160,80
120,50,110,55.41,170,70
120,60,110,51.49,180,60
120,70,110,48.45,190,50
120,80,110,46.3,200,40
120,90,110,47.35,210,30
135,40,110,42.64,175,95
135,50,110,44.79,185,85
135,60,110,37.9,195,75
135,70,110,46.54,205,65
135,80,110,45.46,215,55
135,90,110,43.84,225,45
150,40,110,41.78,190,110
150,50,110,46.14,200,100
150,60,110,46.09,210,90
150,70,110,42.97,220,80
150,80,110,40.69,230,70
150,90,110,46.46,240,60
165,40,110,45.72,205,125
165,50,110,44.43,215,115
165,60,110,41.55,225,105
165,70,110,40.03,235,95
165,80,110,34.59,245,85
165,90,110,37.07,255,75
180,40,110,41.5,220,140
180,50,110,43.38,230,130
180,60,110,41.37,240,120
180,70,110,40.09,250,110
180,80,110,38.05,260,100
180,90,110,36.33,270,90
195,40,110,41.31,235,155
195,50,110,39.61,245,145
195,60,110,37.21,255,135
195,70,110,38.61,265,125
195,80,110,35.86,275,115
195,90,110,34.24,285,105
120,40,115,57.89,160,80
120,50,115,55.41,170,70
120,60,115,51.49,180,60
120,70,115,48.45,190,50
120,80,115,46.3,200,40
120,90,115,47.65,210,30
135,40,115,42.64,175,95
135,50,115,44.08,185,85
135,60,115,36.89,195,75
135,70,115,46.54,205,65
135,80,115,45.46,215,55
135,90,115,43.84,225,45
150,40,115,41.78,190,110
150,50,115,46.14,200,100
150,60,115,46.09,210,90
150,70,115,42.97,220,80
150,80,115,40.69,230,70
150,90,115,46.46,240,60
165,40,115,45.72,205,125
165,50,115,44.43,215,115
165,60,115,41.55,225,105
165,70,115,40.03,235,95
165,80,115,34.59,245,85
165,90,115,37.07,255,75
180,40,115,41.5,220,140
180,50,115,43.38,230,130
180,60,115,41.37,240,120
180,70,115,40.09,250,110
180,80,115,38.05,260,100
180,90,115,36.33,270,90
195,40,115,41.31,235,155
195,50,115,39.61,245,145
195,60,115,37.21,255,135
195,70,115,38.61,265,125
195,80,115,35.86,275,115
195,90,115,34.24,285,105
120,40,120,57.89,160,80
120,50,120,55.41,170,70
120,60,120,51.49,180,60
120,70,120,48.45,190,50
120,80,120,46.3,200,40
120,90,120,47.95,210,30
135,40,120,42.64,175,95
135,50,120,43.37,185,85
135,60,120,35.88,195,75
135,70,120,46.54,205,65
135,80,120,45.46,215,55
135,90,120,43.84,225,45
150,40,120,41.78,190,110
150,50,120,46.14,200,100
150,60,120,46.09,210,90
150,70,120,42.97,220,80
150,80,120,40.69,230,70
150,90,120,46.46,240,60
165,40,120,45.72,205,125
165,50,120,44.43,215,115
165,60,120,41.55,225,105
165,70,120,40.03,235,95
165,80,120,34.59,245,85
165,90,120,37.07,255,75
180,40,120,41.5,220,140
180,50,120,43.38,230,130
180,60,120,41.37,240,120
180,70,120,40.09,250,110
180,80,120,38.05,260,100
180,90,120,36.33,270,90
195,40,120,41.31,235,155
195,50,120,39.61,245,145
195,60,120,37.21,255,135
195,70,120,38.61,265,125
195,80,120,35.86,275,115
195,90,120,34.24,285,105
